Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
48:00.0,79.865,43.26
48:01.0,87.627,43.528
48:02.0,97.662,43.813
48:03.0,84.395,43.219
48:04.0,64.999,43.298
48:05.0,88.285,40.801
48:06.0,92.857,41.315
48:07.0,93.243,42.112
48:08.0,97.647,42.486
48:09.0,98.829,41.319
48:10.0,87.171,41.814
48:11.0,95.929,41.889
48:12.0,95.551,42.045
48:13.0,93.039,41.622
48:14.0,86.824,42.03
48:15.0,91.905,42.306
48:16.0,64.915,42.344
48:17.0,70.769,42.41
48:18.0,72.711,42.339
48:19.0,58.108,42.356
48:20.0,75,42.478
48:21.0,90.235,42.586
48:22.0,98.666,42.027
48:23.0,95.973,41.676
48:25.0,81.292,41.415
48:26.0,75.885,41.408
48:27.0,71.404,41.833
48:28.0,80.749,41.993
48:29.0,70.999,41.98
48:30.0,76.858,41.992
48:31.0,63.775,41.989
48:32.0,75.292,41.987
48:33.0,75.548,41.995
48:34.0,82.77,42.044
48:35.0,89.661,42.338
48:36.0,98.998,42.428
48:37.0,93.389,42.024
48:38.0,81.556,42.222
48:39.0,79.864,42.711
48:40.0,86.386,43.038
48:41.0,91.26,43.295
48:42.0,87.457,43.483
48:43.0,97.342,43.694
48:44.0,99.331,44.001
48:45.0,97.993,43.66
48:46.0,96.166,43.909
48:47.0,89.931,43.675
48:48.0,85.886,43.663
48:49.0,91.341,43.702
48:50.0,96.47,43.912
48:51.0,96.812,44.068
48:52.0,99.332,44.533
48:53.0,98.825,44.686
48:54.0,99.328,44.617
48:55.0,96.984,44.981
48:56.0,99.324,45.152
48:57.0,99.331,45.207
48:58.0,97.014,45.328
48:59.0,99.331,45.2
49:00.0,99.335,45.043
49:01.0,98.327,45.194
49:02.0,99.166,45.017
49:03.0,98.833,44.84
49:04.0,97.5,44.89
49:05.0,98.157,44.937
49:06.0,96.989,44.945
49:07.0,96.482,45
49:08.0,97.983,45.043
49:09.0,97.138,45.31
49:10.0,97.658,45.505
49:11.0,96.979,45.708
49:12.0,94.304,45.924
49:13.0,89.565,45.234
49:14.0,92.06,45.479
49:15.0,90.219,45.739
49:16.0,89.419,46.064
49:17.0,97.829,46.196
49:18.0,97.512,46.409
49:19.0,99.163,46.533
49:20.0,98.833,46.59
