Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
12:53:37.0,99.248,-1.0,83.264,163430.0
12:53:38.0,99.251,-1.0,83.263,130945.0
12:53:39.0,99.498,-1.0,83.263,119441.0
12:53:40.0,98.753,-1.0,83.262,143206.0
12:53:41.0,78.337,-1.0,83.265,1.9808373E7
12:53:42.0,84.634,-0.992,83.26,1.1562608E7
12:53:43.0,99.002,-1.0,83.263,119620.0
12:53:44.0,99.002,-1.0,83.263,165467.0
12:53:45.0,99.248,-0.984,83.263,160155.0
12:53:46.0,99.75,-1.0,83.266,172053.0
12:53:47.0,99.499,-1.0,83.268,183061.0
12:53:48.0,99.246,-1.0,83.268,181830.0
12:53:49.0,99.749,-1.0,83.267,173627.0
12:53:50.0,99.248,-1.0,83.264,175112.0
12:53:51.0,99.501,-1.0,83.263,180275.0
12:53:52.0,84.382,-1.0,83.263,1.2842627E7
12:53:53.0,84.303,-1.0,83.264,1.8273006E7
12:53:54.0,95.25,-1.0,83.267,385324.0
12:53:55.0,99.0,-1.0,83.267,149942.0
12:53:56.0,98.756,-1.0,83.265,165534.0
12:53:57.0,99.244,-1.0,83.264,170537.0
12:53:58.0,99.253,-1.0,83.263,193521.0
12:53:59.0,98.992,-1.0,83.262,155983.0
12:54:00.0,99.749,-1.0,83.26,169961.0
12:54:01.0,98.753,-1.0,83.259,163062.0
12:54:02.0,99.25,-1.0,83.259,174916.0
12:54:03.0,99.248,-1.0,83.257,183968.0
12:54:04.0,75.255,-1.0,83.257,2.5700829E7
12:54:05.0,86.901,-1.0,83.259,5657308.0
12:54:06.0,99.251,-1.0,83.26,140750.0
12:54:07.0,99.749,-1.0,83.258,172495.0
12:54:08.0,99.251,-1.0,83.265,175361.0
12:54:09.0,99.5,-1.0,83.263,159459.0
12:54:10.0,99.248,-1.0,83.26,155651.0
12:54:11.0,99.502,-1.0,83.261,161596.0
12:54:12.0,99.748,-1.0,83.258,163028.0
12:54:13.0,99.748,-1.0,83.258,173854.0
12:54:14.0,99.75,-1.0,83.258,173358.0
12:54:15.0,83.208,-1.0,83.257,1.7672944E7
12:54:16.0,82.397,-1.0,83.256,1.357619E7
12:54:17.0,97.5,-1.0,83.259,244195.0
12:54:18.0,98.753,-1.0,83.259,182126.0
12:54:19.0,99.246,-1.0,83.259,173182.0
12:54:20.0,99.5,-1.0,83.258,175525.0
12:54:21.0,99.251,-1.0,83.257,174268.0
12:54:22.0,99.496,-1.0,83.256,183763.0
12:54:23.0,98.997,-1.0,83.255,173029.0
12:54:24.0,99.251,-1.0,83.254,172518.0
12:54:25.0,100.0,-1.0,83.252,177825.0
12:54:26.0,84.886,-1.0,83.256,1.3182246E7
12:54:27.0,79.695,-1.0,83.249,1.8107681E7
12:54:28.0,99.242,-1.0,83.252,290977.0
12:54:29.0,99.75,-1.0,83.251,152291.0
12:54:30.0,99.002,-1.0,83.252,173825.0
12:54:31.0,99.75,-1.0,83.249,173531.0
12:54:32.0,99.75,-1.0,83.248,173243.0
12:54:33.0,99.999,-1.0,83.247,179828.0
12:54:34.0,99.75,-1.0,83.246,152003.0
12:54:35.0,99.0,-1.0,83.246,166684.0
12:54:36.0,99.5,-1.0,83.245,173288.0
12:54:37.0,89.195,-1.0,83.249,1822747.0
12:54:38.0,81.612,-1.0,83.247,2.8630113E7
